                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                    grada                                  opacity                               luminosity                                    gradr 
                                      10                  4.7503999998926112E+001                  1.7663499657338275E+000                  4.3378459602570274E+000                 -1.0307295806476821E+001                  2.8471070872114366E+000                  7.0000000000000018E-001                  2.7999999999999997E-001                  1.9999999999999796E-002                  9.9999999997739386E-001                  2.5099428649105260E-001                  6.1185196683680076E-001                  6.8393217381278984E+005                  2.0990379626647349E-001 
                                      11                  4.7503999998343474E+001                  1.7663378560977159E+000                  4.3383226538948412E+000                 -1.0304022430008981E+001                  2.8493734108411508E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  9.9999999996512867E-001                  2.5100190265911199E-001                  6.1260423041263723E-001                  6.8393217381279031E+005                  2.1015609519808040E-001 
                                      12                  4.7503999996915795E+001                  1.7663084020600242E+000                  4.3392164255350067E+000                 -1.0297966060636838E+001                  2.8536100193278249E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  9.9999999993507493E-001                  2.5101581326842265E-001                  6.1399567213988704E-001                  6.8393217381279112E+005                  2.1076603305966710E-001 
                                      13                  4.7503999994558207E+001                  1.7662604238432671E+000                  4.3408849782395338E+000                 -1.0286956615750540E+001                  2.8614711413166010E+000                  7.0000000000000007E-001                  2.7999999999999992E-001                  2.0000000000000018E-002                  9.9999999988544563E-001                  2.5104041748983935E-001                  6.1652130425851082E-001                  6.8393217381279229E+005                  2.1174798759825228E-001 
                                      14                  4.7503999989796718E+001                  1.7661659041403608E+000                  4.3445189022816857E+000                 -1.0264243051707545E+001                  2.8783802146442130E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999978521226E-001                  2.5108959045861456E-001                  6.2172576193142270E-001                  6.8393217381279473E+005                  2.1363577038506015E-001 
                                      15                  4.7503999978815202E+001                  1.7659588037484573E+000                  4.3489489397651280E+000                 -1.0237931514027659E+001                  2.8987774094648961E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.9999999955404184E-001                  2.5115002386667618E-001                  6.2791303029420997E-001                  6.8393217381280032E+005                  2.1766545072232646E-001 
                                      16                  4.7503999970009922E+001                  1.7658023105259266E+000                  4.3519689166003390E+000                 -1.0220974815350369E+001                  2.9125119655513667E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  9.9999999936868311E-001                  2.5119019086311301E-001                  6.3199647288391414E-001                  6.8393217381280474E+005                  2.2063810669418504E-001 
                                      17                  4.7503999964978327E+001                  1.7657162379798730E+000                  4.3541311909326721E+000                 -1.0209387359808689E+001                  2.9222424112291518E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999926276384E-001                  2.5121632888607087E-001                  6.3482098175680546E-001                  6.8393217381280730E+005                  2.2222623608485498E-001 
                                      18                  4.7503999959946739E+001                  1.7656323823767830E+000                  4.3578369225515612E+000                 -1.0190628818751660E+001                  2.9387045285690876E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999915684457E-001                  2.5125416031257208E-001                  6.3943076706877044E-001                  6.8393217381280975E+005                  2.2372116014807891E-001 
                                      19                  4.7503999947444946E+001                  1.7654326417858506E+000                  4.3619278466588192E+000                 -1.0170463766953207E+001                  2.9567860161004633E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999889367097E-001                  2.5129122268503296E-001                  6.4458733338068408E-001                  6.8393217381281592E+005                  2.2719026714418158E-001 
